activities,cycleTime,edit,test,resrouces,interactingIDE,other,work
3,47,2,1,0,0,0,Programming
2,166,1,1,0,0,0,Programming
2,73,1,1,0,0,0,Programming
2,48,1,1,0,0,0,Programming
4,95,3,1,0,0,0,Programming
2,84,1,1,0,0,0,Programming
2,20,1,1,0,0,0,Programming
2,98,1,1,0,0,0,Programming
19,745,14,1,0,2,2,Programming
2,10,1,1,0,0,0,Programming
2,60,1,1,0,0,0,Programming
4,38,2,1,0,1,0,Programming
2,18,1,1,0,0,0,Programming
5,196,3,1,0,0,1,Programming
13,408,10,1,0,1,1,Programming
2,221,1,1,0,0,0,Programming
7,261,4,1,1,1,0,Programming
4,60,2,1,1,0,0,Programming
3,207,2,1,0,0,0,Programming
7,611,3,1,2,1,0,Programming
6,132,1,3,2,0,0,Programming
3,150,1,1,1,0,0,Programming
5,352,2,1,1,0,1,Programming
2,155,1,1,0,0,0,Programming
2,138,1,1,0,0,0,Programming
2,24,1,1,0,0,0,Programming
4,156,2,1,1,0,0,Programming
2,36,1,1,0,0,0,Programming
9,638,4,2,3,0,0,Programming
2,132,1,1,0,0,0,Programming
14,428,6,3,1,0,4,Programming
4,40,2,1,0,0,1,Programming
2,156,1,1,0,0,0,Programming
2,172,1,1,0,0,0,Programming
2,30,1,1,0,0,0,Programming
2,37,1,1,0,0,0,Programming
2,82,1,1,0,0,0,Programming
2,7,1,1,0,0,0,Programming
2,31,1,1,0,0,0,Programming
3,140,1,1,0,0,1,Programming
3,69,2,1,0,0,0,Programming
6,106,4,1,0,0,1,Programming
12,162,10,1,0,1,0,Programming
3,97,2,1,0,0,0,Programming
2,16,1,1,0,0,0,Programming
46,1903,41,1,0,2,2,Programming
10,114,9,1,0,0,0,Programming
38,1793,26,1,2,4,5,Programming
2,47,1,1,0,0,0,Programming
25,793,19,1,0,3,2,Programming
10,408,4,1,0,1,4,Programming
2,63,1,1,0,0,0,Programming
5,155,2,1,0,0,2,Programming
2,60,1,1,0,0,0,Programming
5,111,4,1,0,0,0,Programming
6,430,3,1,0,2,0,Programming
5,432,2,1,0,1,1,Programming
14,564,8,2,0,3,1,Programming
4,108,2,1,0,1,0,Programming
5,143,1,2,0,1,1,Programming
15,271,8,1,2,4,0,Programming
11,250,6,1,1,3,0,Programming
2,117,1,1,0,0,0,Programming
32,564,21,1,1,7,2,Programming
6,163,3,1,0,2,0,Programming
10,348,5,1,0,4,0,Programming
3,187,1,1,0,1,0,Programming
